Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1619363;3.2108333333333334;43.360277777777775;"43°21'37.000""N 3°12'39.000""E";34032;"";RTE DE CORNEILHAN CIMETIÈRE NEUF;34500;BEZIERS;pylône arbre;26.6;HIVORY
1619394;2.9766666666666666;43.1525;"43°9'9.000""N 2°58'36.000""E";11262;"";R ANTOINE BECQUEREL DÉPÔT SOMATEC;11100;NARBONNE;Pylône autostable;12.0;HIVORY
1620388;3.5025;43.27972222222222;"43°16'47.000""N 3°30'9.000""E";34003;"";R DES SANS SOUCIS;34300;AGDE;Pylône autostable;19.1;SFR
1620394;3.484722222222222;43.31166666666667;"43°18'42.000""N 3°29'5.000""E";34003;"";R DES ANCIENS COMBATTANTS;34300;AGDE;Pylône autostable;31.5;SFR
1620403;3.2258333333333336;43.336666666666666;"43°20'12.000""N 3°13'33.000""E";34032;"";87 AV DU PRÉSIDENT WILSON;34500;BEZIERS;Immeuble;27.0;"Copropriété, Syndic, SCI"
1620414;3.0225;43.18083333333333;"43°10'51.000""N 3°1'21.000""E";11262;"";AV PIERRE DE COUBERTIN;11100;NARBONNE;Pylône tubulaire;31.5;HIVORY
1621885;1.3147222222222221;43.929722222222225;"43°55'47.000""N 1°18'53.000""E";82025;CLOS DU LAC;PÉAGE - SORTIE BRESSOLS - A20 A62 GENDARMERIE;82710;BRESSOLS;Pylône autostable;17.0;"Sociétés d'Autoroutes"
1621902;2.602222222222222;43.63361111111111;"43°38'1.000""N 2°36'8.000""E";81062;RIEUMALET;"";81260;FONTRIEU;Pylône autostable;47.0;Conseil Départemental
1622176;3.288333333333333;43.25388888888889;"43°15'14.000""N 3°17'18.000""E";34299;"";RTE DE VALRAS;34410;SERIGNAN;Pylône tubulaire;12.0;HIVORY
1622354;1.3333333333333333;43.99666666666667;"43°59'48.000""N 1°20'0.000""E";82121;"";IMPASSE VALLADOLID;82000;MONTAUBAN;Pylône autostable;30.0;ON TOWER FRANCE
1622860;3.306388888888889;43.342777777777776;"43°20'34.000""N 3°18'23.000""E";34073;"L'HOMME MORT";"";34420;CERS;Pylône autostable;13.5;HIVORY
1622991;3.253888888888889;43.344722222222224;"43°20'41.000""N 3°15'14.000""E";34032;"";R RAOUL BAYOU ZAC DE MONTIMARAN;34500;BEZIERS;Pylône tubulaire;11.2;HIVORY
1623003;4.03;43.70027777777778;"43°42'1.000""N 4°1'48.000""E";34256;LES GRÈS;AV DE BEAULIEU;34160;SAINT GENIES DES MOURGUES;"Château d'eau - réservoir";40.0;"Syndicat des eaux, Adduction"
1623789;3.468888888888889;43.30638888888889;"43°18'23.000""N 3°28'8.000""E";34003;"";13 BD GEORGES POMPIDOU;34300;AGDE;Immeuble;16.0;Société HLM
1623804;3.2630555555555554;43.310833333333335;"43°18'39.000""N 3°15'47.000""E";34336;CARDOU;CHEMIN DE MAUSSAC PATAU;34420;VILLENEUVE LES BEZIERS;Pylône autostable;32.0;HIVORY
1623808;3.3125;43.31777777777778;"43°19'4.000""N 3°18'45.000""E";34336;FAISSAN;"STATION D'ÉPURATON";34420;VILLENEUVE LES BEZIERS;Pylône autostable;21.0;HIVORY
1623854;3.138611111111111;43.31444444444445;"43°18'52.000""N 3°8'19.000""E";34081;"";PL DU PRESBYTERE EGLISE;34440;COLOMBIERS;Monument religieux;21.6;"Commune, communauté de commune"
1624028;1.1683333333333334;44.033611111111114;"44°2'1.000""N 1°10'6.000""E";82033;MALLAURENS;30 CHE DES COURTINALS RD 958;82100;CASTELSARRASIN;"Château d'eau - réservoir";39.4;"Syndicat des eaux, Adduction"
1624069;3.54;43.30694444444445;"43°18'25.000""N 3°32'24.000""E";34150;EUROPE ET SIRÈNE;"";34340;MARSEILLAN;Pylône autostable;21.0;HIVORY
